NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;NAT_CHANGE;MIG_INT_NET;MIG_EXT_NET;MIG_MOV_NET;POP_CHANGE
AT13;90000;90000;2002;2002;-488;1.890;19.598;-;21.000
AT13;90000;90000;2003;2003;-494;-1.546;18.640;-;16.600
AT13;90000;90000;2004;2004;873;-3.879;23.537;-;20.531
AT13;90000;90000;2005;2005;713;-3.226;20.407;-;17.894
AT13;90000;90000;2006;2006;1.316;-2.128;8.900;-;8.088
AT13;90000;90000;2007;2007;1.060;-1.802;12.611;-;11.869
AT13;90000;90000;2008;2008;1.673;-2.359;9.804;-;9.118
AT13;90000;90000;2009;2009;822;1.939;6.939;-;9.700
AT13;90000;90000;2010;2010;1.702;2.285;8.692;-;12.679
AT13;90000;90000;2011;2011;2.252;1.418;10.403;-;14.073
AT13;90000;90000;2012;2012;1.861;3.193;19.121;-;24.175
AT13;90000;90000;2013;2013;2.359;369;22.342;-;25.070
AT13;90000;90000;2014;2014;3.246;1.023;25.669;-;29.938
AT13;90000;90000;2015;2015;3.405;1.243;37.942;-;42.590
AT13;90000;90000;2016;2016;4.773;1.138;21.139;-;27.050
AT13;90000;90000;2017;2017;4.152;-405;17.196;-;20.943
AT13;90000;90000;2018;2018;3.801;-5.913;11.592;-;9.480
AT13;90000;90000;2019;2019;3.785;-4.639;14.526;-;13.672
AT13;90000;90000;2020;2020;1.255;-3.431;12.272;-;10.096
AT13;90000;90000;2021;2021;1273;-2403;11984;-;10854
AT13;90000;90000;2022;2022;1101;550;49097;-;50748
AT13;90100;90100;2002;2002;-65;85;40;-150;-90
AT13;90100;90100;2003;2003;-49;31;123;-268;-163
AT13;90100;90100;2004;2004;-65;2;95;-151;-119
AT13;90100;90100;2005;2005;-81;25;127;-133;-62
AT13;90100;90100;2006;2006;-61;-13;220;-294;-148
AT13;90100;90100;2007;2007;-55;33;125;-198;-95
AT13;90100;90100;2008;2008;-46;-37;62;-314;-335
AT13;90100;90100;2009;2009;-45;69;104;-224;-96
AT13;90100;90100;2010;2010;-42;103;108;-298;-129
AT13;90100;90100;2011;2011;-44;20;123;-203;-104
AT13;90100;90100;2012;2012;-44;39;267;-293;-31
AT13;90100;90100;2013;2013;-39;55;141;-287;-130
AT13;90100;90100;2014;2014;-46;112;264;-140;190
AT13;90100;90100;2015;2015;-39;53;264;-197;81
AT13;90100;90100;2016;2016;-35;67;150;-130;52
AT13;90100;90100;2017;2017;-47;49;118;-133;-13
AT13;90100;90100;2018;2018;-52;49;78;-210;-135
AT13;90100;90100;2019;2019;-30;7;124;-360;-259
AT13;90100;90100;2020;2020;-59;50;94;-258;-173
AT13;90100;90100;2021;2021;-32;-70;147;-200;-155
AT13;90100;90100;2022;2022;-70;-3;1250;-252;925
AT13;90200;90200;2002;2002;35;312;1.064;-512;899
AT13;90200;90200;2003;2003;95;217;1.233;-772;773
AT13;90200;90200;2004;2004;116;-11;1138;-866;377
AT13;90200;90200;2005;2005;92;-36;1.185;-656;585
AT13;90200;90200;2006;2006;176;414;563;-120;1033
AT13;90200;90200;2007;2007;187;466;1151;-1264;540
AT13;90200;90200;2008;2008;159;528;753;-1049;391
AT13;90200;90200;2009;2009;62;871;505;-550;888
AT13;90200;90200;2010;2010;231;807;396;-880;554
AT13;90200;90200;2011;2011;202;910;809;-647;1.274
AT13;90200;90200;2012;2012;145;638;858;-1348;293
AT13;90200;90200;2013;2013;224;685;1.662;130;2.701
AT13;90200;90200;2014;2014;322;673;1.566;-496;2.065
AT13;90200;90200;2015;2015;345;662;2.297;-1.784;1520
AT13;90200;90200;2016;2016;383;497;1930;-1.078;1732
AT13;90200;90200;2017;2017;304;194;1.225;-1157;566
AT13;90200;90200;2018;2018;191;8;579;-1.378;-600
AT13;90200;90200;2019;2019;203;77;1056;-420;916
AT13;90200;90200;2020;2020;17;221;1000;-1839;-601
AT13;90200;90200;2021;2021;78;247;1.028;-1889;-536
AT13;90200;90200;2022;2022;9;387;3578;-363;3611
AT13;90300;90300;2002;2002;-124;425;803;-1.086;18
AT13;90300;90300;2003;2003;-105;139;869;-227;676
AT13;90300;90300;2004;2004;3;205;1288;-755;741
AT13;90300;90300;2005;2005;32;246;1068;-1056;290
AT13;90300;90300;2006;2006;26;213;566;-1089;-284
AT13;90300;90300;2007;2007;37;195;536;-1368;-600
AT13;90300;90300;2008;2008;114;104;436;-693;-39
AT13;90300;90300;2009;2009;30;288;430;-659;89
AT13;90300;90300;2010;2010;89;440;554;-207;876
AT13;90300;90300;2011;2011;108;227;603;-307;631
AT13;90300;90300;2012;2012;132;354;974;-522;938
AT13;90300;90300;2013;2013;89;350;1.239;-759;919
AT13;90300;90300;2014;2014;192;392;1567;-481;1670
AT13;90300;90300;2015;2015;141;-53;2698;-1120;1.666
AT13;90300;90300;2016;2016;164;256;1248;-1.311;357
AT13;90300;90300;2017;2017;152;244;780;-652;524
AT13;90300;90300;2018;2018;276;142;671;4;1093
AT13;90300;90300;2019;2019;108;79;757;-1002;-58
AT13;90300;90300;2020;2020;22;310;1055;194;1581
AT13;90300;90300;2021;2021;182;172;878;-737;495
AT13;90300;90300;2022;2022;31;318;3593;-924;3018
AT13;90400;90400;2002;2002;-89;239;369;-153;366
AT13;90400;90400;2003;2003;-42;71;391;-394;26
AT13;90400;90400;2004;2004;-3;37;440;-326;148
AT13;90400;90400;2005;2005;-42;78;559;-104;491
AT13;90400;90400;2006;2006;3;147;207;-306;51
AT13;90400;90400;2007;2007;-54;162;309;-322;95
AT13;90400;90400;2008;2008;11;96;254;-264;97
AT13;90400;90400;2009;2009;-23;95;187;-280;-21
AT13;90400;90400;2010;2010;8;202;242;-242;210
AT13;90400;90400;2011;2011;37;168;276;-291;190
AT13;90400;90400;2012;2012;14;180;532;-445;281
AT13;90400;90400;2013;2013;32;151;575;-299;459
AT13;90400;90400;2014;2014;12;146;574;-504;228
AT13;90400;90400;2015;2015;26;182;870;-17;1061
AT13;90400;90400;2016;2016;62;174;400;-356;280
AT13;90400;90400;2017;2017;39;82;499;-343;277
AT13;90400;90400;2018;2018;1;55;335;-425;-34
AT13;90400;90400;2019;2019;65;91;365;-573;-52
AT13;90400;90400;2020;2020;-21;84;409;-608;-136
AT13;90400;90400;2021;2021;16;-52;378;-405;-63
AT13;90400;90400;2022;2022;-65;-64;1406;-649;628
AT13;90500;90500;2002;2002;1;313;873;-612;575
AT13;90500;90500;2003;2003;110;216;863;-509;680
AT13;90500;90500;2004;2004;98;226;1014;-606;732
AT13;90500;90500;2005;2005;138;194;820;-611;541
