,DISTRICT_CODE,REF_YEAR,DOG_VALUE
1,1,2002,5420
2,2,2002,2251
3,3,2002,1904
4,4,2002,6150
5,5,2002,8620
6,6,2002,6040
7,7,2002,5320
8,8,2002,4740
9,9,2002,8650
10,10,2002,4142
11,11,2002,2667
12,12,2002,2215
13,13,2002,1935
14,14,2002,2574
15,15,2002,1198
16,16,2002,1922
17,17,2002,1252
18,18,2002,1322
19,19,2002,2454
20,20,2002,1801
21,21,2002,5461
22,22,2002,5848
23,23,2002,3493
25,1,2003,5370
26,2,2003,2301
27,3,2003,1923
28,4,2003,5970
29,5,2003,8810
30,6,2003,5920
31,7,2003,5450
32,8,2003,4730
33,9,2003,8410
34,10,2003,4247
35,11,2003,2693
36,12,2003,2227
37,13,2003,1928
38,14,2003,2574
39,15,2003,1228
40,16,2003,1894
41,17,2003,1283
42,18,2003,1357
43,19,2003,2472
44,20,2003,1832
45,21,2003,5573
46,22,2003,5913
47,23,2003,3517
49,1,2004,5150
50,2,2004,2332
51,3,2004,1933
52,4,2004,5860
53,5,2004,8820
54,6,2004,5870
55,7,2004,5770
56,8,2004,4970
57,9,2004,8540
58,10,2004,4365
59,11,2004,2853
60,12,2004,2253
61,13,2004,1915
62,14,2004,2568
63,15,2004,1222
64,16,2004,1964
65,17,2004,13
66,18,2004,146
67,19,2004,2462
68,20,2004,1861
69,21,2004,5606
70,22,2004,598
71,23,2004,3521
73,1,2005,5160
74,2,2005,236
75,3,2005,1932
76,4,2005,6140
77,5,2005,9390
78,6,2005,6140
79,7,2005,5530
80,8,2005,4880
81,9,2005,8420
82,10,2005,463
83,11,2005,3022
84,12,2005,2334
85,13,2005,1926
86,14,2005,2671
87,15,2005,1272
88,16,2005,2019
89,17,2005,1353
90,18,2005,1368
91,19,2005,2538
92,20,2005,1955
93,21,2005,5949
94,22,2005,636
95,23,2005,3601
97,1,2006,5170
98,2,2006,2368
99,3,2006,1935
100,4,2006,6250
101,5,2006,9400
102,6,2006,6020
103,7,2006,5580
104,8,2006,4690
105,9,2006,8520
106,10,2006,4731
107,11,2006,3074
108,12,2006,2345
109,13,2006,1978
110,14,2006,2663
111,15,2006,1305
112,16,2006,2015
113,17,2006,1345
114,18,2006,1397
115,19,2006,2549
116,20,2006,191
117,21,2006,5931
118,22,2006,6522
119,23,2006,3651
121,1,2007,5220
122,2,2007,2354
123,3,2007,1925
124,4,2007,6230
125,5,2007,9730
126,6,2007,6070
127,7,2007,5620
128,8,2007,4650
129,9,2007,8150
130,10,2007,4975
131,11,2007,3166
132,12,2007,2364
133,13,2007,1948
134,14,2007,2744
135,15,2007,1256
136,16,2007,2007
137,17,2007,1365
138,18,2007,1359
139,19,2007,2549
140,20,2007,1898
141,21,2007,6077
142,22,2007,6838
143,23,2007,3757
145,1,2008,5110
146,2,2008,232
147,3,2008,195
148,4,2008,6040
149,5,2008,9860
150,6,2008,6110
151,7,2008,5580
152,8,2008,4540
153,9,2008,8170
154,10,2008,4978
155,11,2008,321
156,12,2008,2362
