,DISTRICT_CODE,REF_YEAR,POP_CHANGE
0,90000,2002,21.0
1,90000,2003,16.6
2,90000,2004,20.531
3,90000,2005,17.894
4,90000,2006,8.088
5,90000,2007,11.869
6,90000,2008,9.118
7,90000,2009,9.7
8,90000,2010,12.679
9,90000,2011,14.073
10,90000,2012,24.175
11,90000,2013,25.07
12,90000,2014,29.938
13,90000,2015,42.59
14,90000,2016,27.05
15,90000,2017,20.943
16,90000,2018,9.48
17,90000,2019,13.672
18,90000,2020,10.096
19,90000,2021,10854.0
20,90000,2022,50748.0
21,90100,2002,-90.0
22,90100,2003,-163.0
23,90100,2004,-119.0
24,90100,2005,-62.0
25,90100,2006,-148.0
26,90100,2007,-95.0
27,90100,2008,-335.0
28,90100,2009,-96.0
29,90100,2010,-129.0
30,90100,2011,-104.0
31,90100,2012,-31.0
32,90100,2013,-130.0
33,90100,2014,190.0
34,90100,2015,81.0
35,90100,2016,52.0
36,90100,2017,-13.0
37,90100,2018,-135.0
38,90100,2019,-259.0
39,90100,2020,-173.0
40,90100,2021,-155.0
41,90100,2022,925.0
42,90200,2002,899.0
43,90200,2003,773.0
44,90200,2004,377.0
45,90200,2005,585.0
46,90200,2006,1033.0
47,90200,2007,540.0
48,90200,2008,391.0
49,90200,2009,888.0
50,90200,2010,554.0
51,90200,2011,1.274
52,90200,2012,293.0
53,90200,2013,2.701
54,90200,2014,2.065
55,90200,2015,1520.0
56,90200,2016,1732.0
57,90200,2017,566.0
58,90200,2018,-600.0
59,90200,2019,916.0
60,90200,2020,-601.0
61,90200,2021,-536.0
62,90200,2022,3611.0
63,90300,2002,18.0
64,90300,2003,676.0
65,90300,2004,741.0
66,90300,2005,290.0
67,90300,2006,-284.0
68,90300,2007,-600.0
69,90300,2008,-39.0
70,90300,2009,89.0
71,90300,2010,876.0
72,90300,2011,631.0
73,90300,2012,938.0
74,90300,2013,919.0
75,90300,2014,1670.0
76,90300,2015,1.666
77,90300,2016,357.0
78,90300,2017,524.0
79,90300,2018,1093.0
80,90300,2019,-58.0
81,90300,2020,1581.0
82,90300,2021,495.0
83,90300,2022,3018.0
84,90400,2002,366.0
85,90400,2003,26.0
86,90400,2004,148.0
87,90400,2005,491.0
88,90400,2006,51.0
89,90400,2007,95.0
90,90400,2008,97.0
91,90400,2009,-21.0
92,90400,2010,210.0
93,90400,2011,190.0
94,90400,2012,281.0
95,90400,2013,459.0
96,90400,2014,228.0
97,90400,2015,1061.0
98,90400,2016,280.0
99,90400,2017,277.0
100,90400,2018,-34.0
101,90400,2019,-52.0
102,90400,2020,-136.0
103,90400,2021,-63.0
104,90400,2022,628.0
105,90500,2002,575.0
106,90500,2003,680.0
107,90500,2004,732.0
108,90500,2005,541.0
109,90500,2006,-284.0
110,90500,2007,193.0
111,90500,2008,-147.0
112,90500,2009,58.0
113,90500,2010,384.0
114,90500,2011,-158.0
115,90500,2012,479.0
116,90500,2013,518.0
117,90500,2014,600.0
118,90500,2015,690.0
119,90500,2016,399.0
120,90500,2017,275.0
121,90500,2018,-213.0
122,90500,2019,-301.0
123,90500,2020,-746.0
124,90500,2021,-641.0
125,90500,2022,1296.0
126,90600,2002,256.0
127,90600,2003,59.0
128,90600,2004,87.0
129,90600,2005,299.0
130,90600,2006,86.0
131,90600,2007,-5.0
132,90600,2008,-256.0
133,90600,2009,121.0
134,90600,2010,-17.0
135,90600,2011,79.0
136,90600,2012,721.0
137,90600,2013,495.0
138,90600,2014,376.0
139,90600,2015,619.0
140,90600,2016,250.0
141,90600,2017,207.0
142,90600,2018,-178.0
143,90600,2019,-205.0
144,90600,2020,-315.0
145,90600,2021,-365.0
146,90600,2022,487.0
147,90700,2002,57.0
148,90700,2003,15.0
149,90700,2004,114.0
150,90700,2005,1210.0
151,90700,2006,-485.0
152,90700,2007,122.0
153,90700,2008,-174.0
154,90700,2009,210.0
155,90700,2010,-9.0
156,90700,2011,32.0
157,90700,2012,215.0
158,90700,2013,491.0
159,90700,2014,488.0
160,90700,2015,722.0
161,90700,2016,175.0
162,90700,2017,257.0
163,90700,2018,-168.0
164,90700,2019,-314.0
165,90700,2020,-276.0
166,90700,2021,-363.0
167,90700,2022,267.0
168,90800,2002,917.0
169,90800,2003,133.0
170,90800,2004,216.0
171,90800,2005,-62.0
172,90800,2006,-4.0
173,90800,2007,144.0
174,90800,2008,-52.0
175,90800,2009,-210.0
176,90800,2010,-53.0
177,90800,2011,177.0
178,90800,2012,369.0
179,90800,2013,331.0
180,90800,2014,235.0
181,90800,2015,520.0
182,90800,2016,462.0
183,90800,2017,139.0
184,90800,2018,-178.0
185,90800,2019,-447.0
186,90800,2020,-553.0
187,90800,2021,-123.0
188,90800,2022,517.0
189,90900,2002,1.0
190,90900,2003,544.0
191,90900,2004,552.0
192,90900,2005,-257.0
193,90900,2006,-115.0
194,90900,2007,348.0
195,90900,2008,-277.0
196,90900,2009,172.0
197,90900,2010,-19.0
198,90900,2011,107.0
199,90900,2012,539.0
200,90900,2013,540.0
201,90900,2014,336.0
202,90900,2015,2.21
203,90900,2016,-372.0
204,90900,2017,-179.0
205,90900,2018,-542.0
206,90900,2019,-83.0
207,90900,2020,-65.0
208,90900,2021,-421.0
209,90900,2022,815.0
210,91000,2002,3.496
211,91000,2003,2.715
212,91000,2004,4.462
213,91000,2005,3.399
214,91000,2006,2.118
215,91000,2007,1.852
216,91000,2008,2.101
217,91000,2009,1.509
218,91000,2010,1.787
219,91000,2011,1.827
220,91000,2012,4243.0
221,91000,2013,3.826
222,91000,2014,3173.0
223,91000,2015,4972.0
224,91000,2016,3.292
225,91000,2017,3.758
226,91000,2018,2.379
227,91000,2019,3060.0
228,91000,2020,3417.0
229,91000,2021,1.733
230,91000,2022,6201.0
231,91100,2002,1.667
232,91100,2003,852.0
233,91100,2004,1.006
234,91100,2005,214.0
235,91100,2006,153.0
236,91100,2007,2.969
237,91100,2008,2.142
238,91100,2009,1484.0
239,91100,2010,918.0
240,91100,2011,782.0
241,91100,2012,1.062
242,91100,2013,1150.0
243,91100,2014,1740.0
244,91100,2015,2114.0
245,91100,2016,2.794
246,91100,2017,1270.0
247,91100,2018,1614.0
248,91100,2019,1423.0
249,91100,2020,590.0
250,91100,2021,1.049
251,91100,2022,2969.0
252,91200,2002,1.247
253,91200,2003,1.861
254,91200,2004,1.105
255,91200,2005,774.0
256,91200,2006,726.0
257,91200,2007,834.0
258,91200,2008,1220.0
259,91200,2009,488.0
260,91200,2010,554.0
261,91200,2011,473.0
262,91200,2012,1109.0
263,91200,2013,1238.0
264,91200,2014,1322.0
265,91200,2015,1931.0
266,91200,2016,1757.0
267,91200,2017,1687.0
268,91200,2018,57.0
269,91200,2019,-570.0
270,91200,2020,-59.0
271,91200,2021,916.0
272,91200,2022,2382.0
273,91300,2002,413.0
274,91300,2003,33.0
275,91300,2004,351.0
276,91300,2005,-19.0
277,91300,2006,-60.0
278,91300,2007,-174.0
279,91300,2008,-151.0
280,91300,2009,18.0
281,91300,2010,-49.0
282,91300,2011,-337.0
283,91300,2012,162.0
284,91300,2013,431.0
285,91300,2014,836.0
286,91300,2015,1625.0
287,91300,2016,335.0
288,91300,2017,86.0
289,91300,2018,-484.0
290,91300,2019,262.0
291,91300,2020,-129.0
292,91300,2021,50.0
293,91300,2022,1604.0
294,91400,2002,1001.0
295,91400,2003,265.0
296,91400,2004,1189.0
297,91400,2005,962.0
298,91400,2006,370.0
299,91400,2007,515.0
300,91400,2008,252.0
301,91400,2009,96.0
302,91400,2010,461.0
303,91400,2011,396.0
304,91400,2012,1272.0
305,91400,2013,1306.0
306,91400,2014,1656.0
307,91400,2015,2331.0
308,91400,2016,725.0
309,91400,2017,407.0
310,91400,2018,250.0
311,91400,2019,671.0
312,91400,2020,-264.0
313,91400,2021,-362.0
314,91400,2022,3837.0
315,91500,2002,487.0
316,91500,2003,723.0
317,91500,2004,596.0
318,91500,2005,639.0
319,91500,2006,-37.0
320,91500,2007,160.0
321,91500,2008,319.0
322,91500,2009,214.0
323,91500,2010,648.0
324,91500,2011,157.0
325,91500,2012,1876.0
326,91500,2013,1223.0
327,91500,2014,1467.0
328,91500,2015,2002.0
329,91500,2016,626.0
330,91500,2017,0.0
331,91500,2018,-1.36
332,91500,2019,-817.0
333,91500,2020,-662.0
334,91500,2021,-490.0
335,91500,2022,492.0
336,91600,2002,1254.0
337,91600,2003,676.0
338,91600,2004,2099.0
339,91600,2005,1744.0
340,91600,2006,-7.0
341,91600,2007,362.0
342,91600,2008,393.0
343,91600,2009,272.0
344,91600,2010,151.0
345,91600,2011,736.0
346,91600,2012,1874.0
347,91600,2013,1498.0
348,91600,2014,1602.0
349,91600,2015,1842.0
350,91600,2016,1710.0
351,91600,2017,288.0
352,91600,2018,-795.0
353,91600,2019,-693.0
354,91600,2020,-623.0
355,91600,2021,-838.0
356,91600,2022,802.0
357,91700,2002,584.0
358,91700,2003,811.0
359,91700,2004,982.0
360,91700,2005,1096.0
361,91700,2006,100.0
362,91700,2007,-30.0
363,91700,2008,-166.0
364,91700,2009,73.0
365,91700,2010,-50.0
366,91700,2011,354.0
367,91700,2012,852.0
368,91700,2013,904.0
369,91700,2014,1192.0
370,91700,2015,684.0
371,91700,2016,836.0
372,91700,2017,354.0
373,91700,2018,-224.0
374,91700,2019,-259.0
375,91700,2020,-535.0
376,91700,2021,-475.0
377,91700,2022,18.0
378,91800,2002,338.0
379,91800,2003,386.0
380,91800,2004,538.0
381,91800,2005,291.0
382,91800,2006,20.0
383,91800,2007,162.0
384,91800,2008,138.0
385,91800,2009,71.0
386,91800,2010,-128.0
387,91800,2011,54.0
388,91800,2012,550.0
389,91800,2013,202.0
390,91800,2014,807.0
391,91800,2015,1091.0
392,91800,2016,840.0
393,91800,2017,518.0
394,91800,2018,-51.0
395,91800,2019,-67.0
396,91800,2020,-163.0
397,91800,2021,-456.0
398,91800,2022,708.0
399,91900,2002,628.0
400,91900,2003,385.0
401,91900,2004,391.0
402,91900,2005,398.0
403,91900,2006,402.0
404,91900,2007,225.0
405,91900,2008,-126.0
406,91900,2009,33.0
407,91900,2010,202.0
408,91900,2011,378.0
409,91900,2012,436.0
410,91900,2013,353.0
411,91900,2014,735.0
412,91900,2015,1610.0
413,91900,2016,508.0
414,91900,2017,515.0
415,91900,2018,314.0
416,91900,2019,956.0
417,91900,2020,-28.0
418,91900,2021,25.0
419,91900,2022,1658.0
420,92000,2002,1.883
421,92000,2003,604.0
422,92000,2004,1.234
423,92000,2005,425.0
424,92000,2006,411.0
425,92000,2007,43.0
426,92000,2008,334.0
427,92000,2009,113.0
428,92000,2010,855.0
429,92000,2011,389.0
430,92000,2012,599.0
431,92000,2013,275.0
432,92000,2014,1.177
433,92000,2015,254.0
434,92000,2016,1.037
435,92000,2017,353.0
436,92000,2018,-701.0
437,92000,2019,-139.0
438,92000,2020,-1.091
439,92000,2021,-781.0
440,92000,2022,1237.0
441,92100,2002,2.165
442,92100,2003,1.865
443,92100,2004,1.041
444,92100,2005,1.619
445,92100,2006,718.0
446,92100,2007,1.361
447,92100,2008,826.0
448,92100,2009,1.132
449,92100,2010,1.541
450,92100,2011,2.038
451,92100,2012,2.24
452,92100,2013,2.405
453,92100,2014,2.858
454,92100,2015,4.138
455,92100,2016,2.7
456,92100,2017,4.059
457,92100,2018,2.935
458,92100,2019,2271.0
459,92100,2020,5974.0
460,92100,2021,4269.0
461,92100,2022,5724.0
462,92200,2002,2.159
463,92200,2003,2.116
464,92200,2004,2117.0
465,92200,2005,1982.0
466,92200,2006,2147.0
467,92200,2007,1.921
468,92200,2008,2.181
469,92200,2009,2369.0
470,92200,2010,2880.0
471,92200,2011,3517.0
472,92200,2012,3.303
473,92200,2013,3.117
474,92200,2014,4.542
475,92200,2015,7.299
476,92200,2016,3.904
477,92200,2017,2.79
478,92200,2018,4047.0
479,92200,2019,4202.0
480,92200,2020,3587.0
481,92200,2021,5021.0
482,92200,2022,8841.0
483,92300,2002,679.0
484,92300,2003,565.0
485,92300,2004,572.0
486,92300,2005,1335.0
487,92300,2006,1177.0
488,92300,2007,927.0
489,92300,2008,447.0
490,92300,2009,617.0
491,92300,2010,1112.0
492,92300,2011,1081.0
493,92300,2012,793.0
494,92300,2013,818.0
495,92300,2014,643.0
496,92300,2015,1608.0
497,92300,2016,2651.0
498,92300,2017,2805.0
499,92300,2018,2454.0
500,92300,2019,4175.0
501,92300,2020,1366.0
502,92300,2021,3365.0
503,92300,2022,2711.0
