,Unnamed: 0,DISTRICT_CODE,REF_YEAR,UEP_VALUE
0,1,1,2002,0.433
1,2,2,2002,4.784
2,3,3,2002,3.957
3,4,4,2002,1.14
4,5,5,2002,2.881
5,6,6,2002,1.398
6,7,7,2002,1.232
7,8,8,2002,0.892
8,9,9,2002,1.473
9,10,10,2002,8.593
10,11,11,2002,4.265
11,12,12,2002,4.283
12,13,13,2002,1.273
13,14,14,2002,3.299
14,15,15,2002,3.888
15,16,16,2002,4.996
16,17,17,2002,2.513
17,18,18,2002,1.739
18,19,19,2002,2.169
19,20,20,2002,4.566
20,21,21,2002,6.46
21,22,22,2002,5.663
22,23,23,2002,2.999
23,25,1,2003,0.451
24,26,2,2003,5.073
25,27,3,2003,4.216
26,28,4,2003,1.163
27,29,5,2003,3.031
28,30,6,2003,1.479
29,31,7,2003,1.262
30,32,8,2003,0.947
31,33,9,2003,1.593
32,34,10,2003,9.145
33,35,11,2003,4.481
34,36,12,2003,4.659
35,37,13,2003,1.367
36,38,14,2003,3.506
37,39,15,2003,4.079
38,40,16,2003,5.451
39,41,17,2003,2.753
40,42,18,2003,1.898
41,43,19,2003,2.446
42,44,20,2003,4.967
43,45,21,2003,6.753
44,46,22,2003,5.917
45,47,23,2003,3.236
46,49,1,2004,0.443
47,50,2,2004,4.782
48,51,3,2004,4.329
49,52,4,2004,1.103
50,53,5,2004,2.96
51,54,6,2004,1.501
52,55,7,2004,1.223
53,56,8,2004,0.874
54,57,9,2004,1.675
55,58,10,2004,9.871
56,59,11,2004,4.616
57,60,12,2004,5.027
58,61,13,2004,1.49
59,62,14,2004,3.763
60,63,15,2004,4.442
61,64,16,2004,5.567
62,65,17,2004,2.869
63,66,18,2004,1.968
64,67,19,2004,2.502
65,68,20,2004,4.633
66,69,21,2004,6.977
67,70,22,2004,6.044
68,71,23,2004,3.36
69,73,1,2005,0.423
70,74,2,2005,4.812
71,75,3,2005,4.402
72,76,4,2005,1.037
73,77,5,2005,2.849
74,78,6,2005,1.473
75,79,7,2005,1.16
76,80,8,2005,0.775
77,81,9,2005,1.592
78,82,10,2005,10.012
79,83,11,2005,4.692
80,84,12,2005,5.012
81,85,13,2005,1.466
82,86,14,2005,3.719
83,87,15,2005,4.579
84,88,16,2005,5.581
85,89,17,2005,2.894
86,90,18,2005,1.939
87,91,19,2005,2.394
88,92,20,2005,4.757
89,93,21,2005,6.6
90,94,22,2005,6.0
91,95,23,2005,3.259
92,97,1,2006,0.362
93,98,2,2006,4.734
94,99,3,2006,4.056
95,100,4,2006,0.967
96,101,5,2006,2.722
97,102,6,2006,1.384
98,103,7,2006,1.079
99,104,8,2006,0.724
100,105,9,2006,1.4
101,106,10,2006,9.556
102,107,11,2006,4.39
103,108,12,2006,4.781
104,109,13,2006,1.401
105,110,14,2006,3.732
106,111,15,2006,4.528
107,112,16,2006,5.53
108,113,17,2006,2.868
109,114,18,2006,1.875
110,115,19,2006,2.122
111,116,20,2006,4.589
112,117,21,2006,6.564
113,118,22,2006,5.572
114,119,23,2006,3.154
115,121,1,2007,0.346
116,122,2,2007,4.3
117,123,3,2007,3.761
118,124,4,2007,0.933
119,125,5,2007,2.572
120,126,6,2007,1.309
121,127,7,2007,1.01
122,128,8,2007,0.708
123,129,9,2007,1.203
124,130,10,2007,8.842
125,131,11,2007,4.234
126,132,12,2007,4.633
127,133,13,2007,1.291
128,134,14,2007,3.52
129,135,15,2007,4.204
130,136,16,2007,5.051
131,137,17,2007,2.61
132,138,18,2007,1.708
133,139,19,2007,1.859
134,140,20,2007,4.125
135,141,21,2007,6.129
136,142,22,2007,4.91
137,143,23,2007,3.007
138,145,1,2008,0.302
139,146,2,2008,3.934
