,DISTRICT_CODE,REF_YEAR,UEP_VALUE
0,1,2002,0.433
1,2,2002,4.784
2,3,2002,3.957
3,4,2002,1.14
4,5,2002,2.881
5,6,2002,1.398
6,7,2002,1.232
7,8,2002,0.892
8,9,2002,1.473
9,10,2002,8.593
10,11,2002,4.265
11,12,2002,4.283
12,13,2002,1.273
13,14,2002,3.299
14,15,2002,3.888
15,16,2002,4.996
16,17,2002,2.513
17,18,2002,1.739
18,19,2002,2.169
19,20,2002,4.566
20,21,2002,6.46
21,22,2002,5.663
22,23,2002,2.999
23,1,2003,0.451
24,2,2003,5.073
25,3,2003,4.216
26,4,2003,1.163
27,5,2003,3.031
28,6,2003,1.479
29,7,2003,1.262
30,8,2003,0.947
31,9,2003,1.593
32,10,2003,9.145
33,11,2003,4.481
34,12,2003,4.659
35,13,2003,1.367
36,14,2003,3.506
37,15,2003,4.079
38,16,2003,5.451
39,17,2003,2.753
40,18,2003,1.898
41,19,2003,2.446
42,20,2003,4.967
43,21,2003,6.753
44,22,2003,5.917
45,23,2003,3.236
46,1,2004,0.443
47,2,2004,4.782
48,3,2004,4.329
49,4,2004,1.103
50,5,2004,2.96
51,6,2004,1.501
52,7,2004,1.223
53,8,2004,0.874
54,9,2004,1.675
55,10,2004,9.871
56,11,2004,4.616
57,12,2004,5.027
58,13,2004,1.49
59,14,2004,3.763
60,15,2004,4.442
61,16,2004,5.567
62,17,2004,2.869
63,18,2004,1.968
64,19,2004,2.502
65,20,2004,4.633
66,21,2004,6.977
67,22,2004,6.044
68,23,2004,3.36
69,1,2005,0.423
70,2,2005,4.812
71,3,2005,4.402
72,4,2005,1.037
73,5,2005,2.849
74,6,2005,1.473
75,7,2005,1.16
76,8,2005,0.775
77,9,2005,1.592
78,10,2005,10.012
79,11,2005,4.692
80,12,2005,5.012
81,13,2005,1.466
82,14,2005,3.719
83,15,2005,4.579
84,16,2005,5.581
85,17,2005,2.894
86,18,2005,1.939
87,19,2005,2.394
88,20,2005,4.757
89,21,2005,6.6
90,22,2005,6.0
91,23,2005,3.259
92,1,2006,0.362
93,2,2006,4.734
94,3,2006,4.056
95,4,2006,0.967
96,5,2006,2.722
97,6,2006,1.384
98,7,2006,1.079
99,8,2006,0.724
100,9,2006,1.4
101,10,2006,9.556
102,11,2006,4.39
103,12,2006,4.781
104,13,2006,1.401
105,14,2006,3.732
106,15,2006,4.528
107,16,2006,5.53
108,17,2006,2.868
109,18,2006,1.875
110,19,2006,2.122
111,20,2006,4.589
112,21,2006,6.564
113,22,2006,5.572
114,23,2006,3.154
115,1,2007,0.346
116,2,2007,4.3
117,3,2007,3.761
118,4,2007,0.933
119,5,2007,2.572
120,6,2007,1.309
121,7,2007,1.01
122,8,2007,0.708
123,9,2007,1.203
124,10,2007,8.842
125,11,2007,4.234
126,12,2007,4.633
127,13,2007,1.291
128,14,2007,3.52
129,15,2007,4.204
130,16,2007,5.051
131,17,2007,2.61
132,18,2007,1.708
133,19,2007,1.859
134,20,2007,4.125
135,21,2007,6.129
136,22,2007,4.91
137,23,2007,3.007
138,1,2008,0.302
139,2,2008,3.934
140,3,2008,3.435
141,4,2008,0.877
142,5,2008,2.392
143,6,2008,1.246
144,7,2008,0.911
145,8,2008,0.624
146,9,2008,1.097
147,10,2008,8.018
148,11,2008,4.005
149,12,2008,4.337
150,13,2008,1.236
151,14,2008,3.323
152,15,2008,3.913
153,16,2008,4.608
154,17,2008,2.334
155,18,2008,1.594
156,19,2008,1.69
157,20,2008,3.777
158,21,2008,5.568
159,22,2008,4.422
160,23,2008,2.846
161,1,2009,0.332
162,2,2009,4.432
163,3,2009,3.748
164,4,2009,0.963
165,5,2009,2.556
166,6,2009,1.306
167,7,2009,1.029
168,8,2009,0.677
169,9,2009,1.157
170,10,2009,8.918
171,11,2009,4.501
172,12,2009,4.753
173,13,2009,1.363
174,14,2009,3.606
175,15,2009,4.197
176,16,2009,4.959
177,17,2009,2.563
178,18,2009,1.698
179,19,2009,1.837
180,20,2009,4.215
181,21,2009,6.022
182,22,2009,4.999
183,23,2009,3.223
184,1,2010,0.348
185,2,2010,4.562
186,3,2010,3.785
187,4,2010,0.995
188,5,2010,2.579
189,6,2010,1.317
190,7,2010,1.054
191,8,2010,0.686
192,9,2010,1.184
193,10,2010,9.204
194,11,2010,4.594
195,12,2010,4.857
196,13,2010,1.36
197,14,2010,3.57
198,15,2010,4.157
199,16,2010,4.778
200,17,2010,2.444
201,18,2010,1.639
202,19,2010,1.94
203,20,2010,4.329
204,21,2010,6.37
205,22,2010,5.112
206,23,2010,3.317
