FID,OBJECTID,SHAPE,STANDORT_ID,BEZEICHNUNG,BESCHREIBUNG,TYP,TYP_TXT,WEBLINK1,SE_ANNO_CAD_DATA
SILVESPFADPKTOGD.5144,5144,POINT (16.39566679486554 48.21723990253525),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5145,5145,POINT (16.396132675709907 48.21689984524722),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5146,5146,POINT (16.39615756689485 48.21653576557493),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5121,5121,POINT (16.365514227028807 48.21176237713326),2.0,2 - Freyung,"Pop, Rock, Disco",1,Stand,https://wienersilvesterpfad.at/ freyung,
SILVESPFADPKTOGD.5122,5122,POINT (16.36965979068007 48.20875086769949),4.0,4 - Graben,Europas größter Ballroom,1,Stand,https://wienersilvesterpfad.at/ graben,
SILVESPFADPKTOGD.5123,5123,POINT (16.372381329122696 48.20851803304727),5.0,5 - Stephansplatz,Walzer und Big Band Sounds,1,Stand,https://wienersilvesterpfad.at/ stephansplatz,
SILVESPFADPKTOGD.5124,5124,POINT (16.371451960241366 48.2063552657305),6.0,6 - Kärntner Straße,Latin & Italo,1,Stand,https://wienersilvesterpfad.at/ kaerntner-strasse,
SILVESPFADPKTOGD.5125,5125,POINT (16.370733551673187 48.20622889399379),7.0,7- Neuer Markt,"Kinderprogramm – Boogie Woogie, Rock’n’Roll, Hillbilly",1,Stand,https://wienersilvesterpfad.at/ neuer-markt,
SILVESPFADPKTOGD.5126,5126,POINT (16.373430391680348 48.20808158433289),,Stephansplatz,Erste Hilfe,3,Rotes Kreuz,https://www.wien.gv.at/kontakte/notrufe.html,
SILVESPFADPKTOGD.5127,5127,POINT (16.36900856333056 48.208869523334855),,Graben,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5128,5128,POINT (16.3694848203014 48.209150136586416),,Bognergasse,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5129,5129,POINT (16.370911969592914 48.20674380299884),,Neuer Markt,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5130,5130,POINT (16.367764392649562 48.21105220190948),3.0,3 - Am Hof,Soul & R’n’B sowie Pop,1,Stand,https://wienersilvesterpfad.at/ am-hof,
SILVESPFADPKTOGD.5131,5131,POINT (16.367200491101958 48.21100521296134),,Am Hof,Erste Hilfe,3,Rotes Kreuz,https://www.wien.gv.at/kontakte/notrufe.html,
SILVESPFADPKTOGD.5132,5132,POINT (16.370451268524846 48.20586159928507),,Neuer Markt,Erste Hilfe,3,Rotes Kreuz,https://www.wien.gv.at/kontakte/notrufe.html,
SILVESPFADPKTOGD.5133,5133,POINT (16.365900265603887 48.21131874960964),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5134,5134,POINT (16.36739589375129 48.210753101002986),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5135,5135,POINT (16.372809742328016 48.20814271951606),,Stephansplatz,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5136,5136,POINT (16.371810208328473 48.2070906431582),,Weihburggasse,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5137,5137,POINT (16.360193781977443 48.21042877256618),1.0,1 - Rathausplatz,Falco Tribute & spektakuläre Lasershow,1,Stand,https://wienersilvesterpfad.at/ rathausplatz,
SILVESPFADPKTOGD.5138,5138,POINT (16.361738135327936 48.21069588408025),,Beim Burgtheater,Erste Hilfe,3,Rotes Kreuz,https://www.wien.gv.at/kontakte/notrufe.html,
SILVESPFADPKTOGD.5139,5139,POINT (16.362019222679795 48.21081253973158),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5140,5140,POINT (16.360457137030988 48.20927037630491),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5141,5141,POINT (16.360140658076464 48.21000194879023),,WC-Anlage,WC-Anlage,2,Toilette,https://wienersilvesterpfad.at/,
SILVESPFADPKTOGD.5142,5142,POINT (16.396235665853197 48.21723481999573),8.0,8 - Riesenradplatz im Prater,Wintermarkt (ab 11 Uhr) am Riesenradplatz im Prater,1,Stand,https://wienersilvesterpfad.at/riesenradplatz-im-prater,
SILVESPFADPKTOGD.5143,5143,POINT (16.39530388418369 48.217225990657475),,Erste Hilfe,Erste Hilfe,3,Rotes Kreuz,https://www.wien.gv.at/kontakte/notrufe.html,
