Dataset Name,Begin Datetime,End Datetime,Notes,Attribute Description,Resource ID,Resource URL,Resource Format
stadt-wien_citybikestandortewien,2011-05-09T00:00:00,2023-12-01T00:00:00.000,"Citybike, Standorte, Wien wurden mit Ende 2023 aufgelassen Bestand ist leer wurde von Wiener Linien übernommen und demnächst als eigener Wien Mobil Räder Datensatz veröffentlicht.",,6a75cd40-4e52-4214-897c-8859ce426eb2,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:CITYBIKEOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_weihnachtsmrkteundsilvesterstndewien,2013-12-13T00:00:00,,Inhalte der Veranstaltungsdatenbank auf wien.at,"BEZEICHNUNG:  Name des Marktes    
ADRESSE: Adresse des Marktes    
DATUM: Datum des Marktes    
OEFFNUNGSZEIT: Öffnungszeit des Marktes    
WEBLINK1: Link zur Veranstaltungsdatenbank  
SILVESTERMARKT: Kennzeichen, ob es ein Silvestermarkt ist",7b61eac3-8db3-4e70-aa97-3088ffe46035,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ADVENTMARKTOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_stadtspaziergangwien,2008-01-01T00:00:00,,Themenrundgänge durch Wien,"KATEGORIE: Name des Spaziergangs (Thema)  
NAME: Name der Sehenswürdigkeit  
BEMERKUNG: Kurzinformation zur Sehenswürdigkeit  
ADRESSE: Adresse/Standort der Sehenswürdigkeit  
WEITERE_INF: Internetadresse",d371b4cc-477a-4f0a-b740-1006ca29c981,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SPAZIERLINIEOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_stadtspaziergangwien,2008-01-01T00:00:00,,Themenrundgänge durch Wien,"KATEGORIE: Name des Spaziergangs (Thema)  
NAME: Name der Sehenswürdigkeit  
BEMERKUNG: Kurzinformation zur Sehenswürdigkeit  
ADRESSE: Adresse/Standort der Sehenswürdigkeit  
WEITERE_INF: Internetadresse",55490ee7-78e9-489c-b58d-b5af5b65c01f,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SPAZIERPUNKTOGD &srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_silversterpfadwien,2013-12-31T00:00:00,,Linien- und Punktbestand des Silvesterpfades in Wien.,"OBJECTID: ID    
BEZEICHNUNG: Standort-Details    
BESCHREIBUNG: Beschreibung des Standortes    
TYP_TXT: Typ des Standortes    
WEBLINK1: Link zu Veranstaltungsdetails  
STANDORT_ID: ID des Standortes  
TYP: Typ des Standortes",0f015573-ec9a-424e-83f3-bc6601e1ebae,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SILVESPFADLINOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_silversterpfadwien,2013-12-31T00:00:00,,Linien- und Punktbestand des Silvesterpfades in Wien.,"OBJECTID: ID    
BEZEICHNUNG: Standort-Details    
BESCHREIBUNG: Beschreibung des Standortes    
TYP_TXT: Typ des Standortes    
WEBLINK1: Link zu Veranstaltungsdetails  
STANDORT_ID: ID des Standortes  
TYP: Typ des Standortes",b905f17c-a1c9-4d83-9829-0b434b130203,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SILVESPFADPKTOGD&srsName=EPSG:4326&outputFormat=csv,CSV
energiegwpabgrogd,,,"Abgrenzung von oberflächennahen Grundwasserleitern, die für eine thermische Nutzung des Grundwassers geeignet sind. Lokale Grundwasserleiter eignen sich eher für kleinere Anlagen, in den ergiebigen Grundwasserleitern sind auch größere Anlagen möglich. ","OBJECTID: Objekt ID

ID: Interne Identifiktionsnummer (ID)

GWK: Grundwasserkörper

SHAPE: ESRI Geometrie

SHAPE.AREA: Fläche des Polygons

SHAPE.LEN: Umfang des Polygons",d8b4e550-8114-4141-80ac-0da2904667a4,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ENERGIEGWPABGROGD&srsName=EPSG:4326&outputFormat=csv,CSV
energieampelgwpogd,,,"Alle bekannten möglichen Einschränkungen zur thermischen Nutzung des Grundwassers werden in dieser Ampelkarte zusammengefasst. Wo mehrere Einschränkungen aufeinmal auftreten, wird jeweils die höchste Ampelfarbe gezeigt (Magenta über Gelb, Gelb über Grün). 

Grün - Nutzung generell möglich;
Gelb - Zusätzliche Informationen notwendig;
Magenta - Nutzung generell nicht möglich

Die Attribute zu den Einschränkungen wiederholen sich nach Anzahl möglicher Kombinationen. Wo vorhanden wird ein Detail zur Einschränkung aufgezeigt (z.B. Landschaftsschutzgebiet in der Kategorie Naturschutz)","OBJECTID: Objekt ID

SHAPE:  ESRI Geometrie

GWP_01:  Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_01: Einschränkung

KAT_01: Einschränkung - Detail

GWP_02: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_02: Einschränkung

GWP_03: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_03: Einschränkung

KAT_03: Einschränkung - Detail

GWP_04: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_04: Einschränkung

GWP_05: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_05: Einschränkung

GWP_06: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_06: Einschränkung

KAT_06: Einschränkung - Detail

GWP_SHOW: Eigungskategorie (grün, gelb, magenta)

ORIG_FID: Originale ESRI Identifiktionsnummer (Feature ID)

SHAPE.AREA: Fläche des Polygons

SHAPE.LEN:  Umfang des Polygons",08d1df5f-3624-41ac-b398-85483dc1b2b7,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ENERGIEAMPELGWPOGD&srsName=EPSG:4326&outputFormat=csv,CSV
energieampelewsogd,,,"Alle bekannten möglichen Einschränkungen zur Nutzung von Erdwärmesonden werden in dieser Ampelkarte zusammengefasst. Wo mehrere Einschränkungen aufeinmal auftreten, wird jeweils die höchste Ampelfarbe gezeigt (Magenta über Gelb, Gelb über Grün).

Grün - Nutzung generell möglich;
Gelb - Zusätzliche Informationen notwendig;
Magenta - Nutzung generell nicht möglich;

Die Attribute zu den Einschränkungen wiederholen sich nach Anzahl möglicher Kombinationen. Wo vorhanden wird ein Detail zur Einschränkung aufgezeigt (z.B. Landschaftsschutzgebiet in der Kategorie Naturschutz)","OBJECTID: Objekt ID

SHAPE:  ESRI Geometrie

EWS_01: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_01: Einschränkung

KAT_01: Einschränkung - Detail

EWS_02: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_02: Einschränkung

EWS_03: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_03: Einschränkung

KAT_03: Einschränkung - Detail

EWS_04: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_04: Einschränkung

EWS_05: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_05: Einschränkung

EWS_06: Kategorie der Ampelkarte (Grün, Gelb, Magenta)

PARA_06: Einschränkung

KAT_06: Einschränkung - Detail

EWS_SHOW: Eignungskategorie (grün, gelb, magenta) Anzeige

ORIG_FID: Originale ESRI Identifiktionsnummer (Feature ID)

SHAPE.AREA: Fläche des Polygons

SHAPE.LEN:  Umfang des Polygons",d3c52563-180a-4964-895a-5a6eee5a12a8,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ENERGIEAMPELEWSOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_zhlgebietsgrenzenwien,2020-11-01T00:00:00,,Zählgebiete sind statistische Definitionen. Die 23 Bezirke werden in 1368 Zählgebiete unterteilt.,"BEZNR: Bezirksnummer (1-2-stellig, numerisch)  
ZBEZNR: Zählbezirksnummer (1-2-stellig, numerisch)  
ZGEBNR: Zählgebietssnummer (1-stellig, numerisch)  
BEZ: Bezirksnummer (2-stellig, Character)  
ZBEZ: Zählbezirksnummer (4-stellig, Character, inkl. Bezirksnummer)  
ZGEB: Zählgebietssnummer (5-stellig, Character, inkl. Bezirksnummer und Zählbezirksnummer)  
FLAECHE: Fläche in Quadratmetern  
UMFANG: Umfang in Metern  
AKT_TIMESTAMP: Letzte Aktualisierung (Datum, Uhrzeit MESZ)",cd62e3d9-6023-4824-9e31-9af4ee7f5a87,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ZAEHLGEBIETOGD&srsName=EPSG:4326&outputFormat=csv,CSV
